offer_type,attributes,accuracy,labels,rec_ins_dt
bogo,"['income', 'tenure_years', 'gender_O']",0.4446902654867257,[False  True],2020-05-02 08:42:19.409911
bogo,"['income', 'tenure_years', 'reward']",0.5271807838179521,[False  True],2020-05-02 08:42:19.837549
bogo,"['income', 'tenure_years', 'difficulty']",0.5079013906447535,[False  True],2020-05-02 08:42:20.327350
bogo,"['income', 'tenure_years', 'duration']",0.520543615676359,[False  True],2020-05-02 08:42:20.695327
bogo,"['income', 'tenure_years', 'web']",0.5173830594184576,[False  True],2020-05-02 08:42:21.037236
bogo,"['income', 'tenure_years', 'social']",0.5919721871049305,[False  True],2020-05-02 08:42:21.337548
bogo,"['income', 'tenure_years', 'email']",0.5464601769911505,[False  True],2020-05-02 08:42:21.724090
bogo,"['income', 'tenure_years', 'mobile']",0.45448798988622,[False  True],2020-05-02 08:42:22.041940
bogo,"['income', 'gender_M', 'gender_F']",0.4968394437420986,[False  True],2020-05-02 08:42:22.284585
bogo,"['income', 'gender_M', 'gender_O']",0.4374209860935525,[False  True],2020-05-02 08:42:22.517706
bogo,"['income', 'gender_M', 'reward']",0.5505689001264222,[False  True],2020-05-02 08:42:22.733779
bogo,"['income', 'gender_M', 'difficulty']",0.493046776232617,[False  True],2020-05-02 08:42:22.976925
bogo,"['income', 'gender_M', 'duration']",0.4971554993678888,[False  True],2020-05-02 08:42:23.199015
bogo,"['income', 'gender_M', 'web']",0.5170670037926675,[False  True],2020-05-02 08:42:23.446673
bogo,"['income', 'gender_M', 'social']",0.5316055625790139,[False  True],2020-05-02 08:42:23.678789
bogo,"['income', 'gender_M', 'email']",0.5322376738305942,[False  True],2020-05-02 08:42:23.917424
bogo,"['income', 'gender_M', 'mobile']",0.5363463969658661,[False  True],2020-05-02 08:42:24.146031
bogo,"['income', 'gender_F', 'gender_O']",0.4781921618204804,[False  True],2020-05-02 08:42:24.372133
bogo,"['income', 'gender_F', 'reward']",0.4920986093552465,[False  True],2020-05-02 08:42:24.612774
bogo,"['income', 'gender_F', 'difficulty']",0.4958912768647282,[False  True],2020-05-02 08:42:24.830350
bogo,"['income', 'gender_F', 'duration']",0.4889380530973451,[False  True],2020-05-02 08:42:25.063469
bogo,"['income', 'gender_F', 'web']",0.5154867256637168,[False  True],2020-05-02 08:42:25.318147
bogo,"['income', 'gender_F', 'social']",0.4968394437420986,[False  True],2020-05-02 08:42:25.569815
bogo,"['income', 'gender_F', 'email']",0.5221238938053098,[False  True],2020-05-02 08:42:25.821989
bogo,"['income', 'gender_F', 'mobile']",0.4630214917825538,[False  True],2020-05-02 08:42:26.079173
bogo,"['income', 'gender_O', 'reward']",0.48862199747155505,[False  True],2020-05-02 08:42:26.373469
bogo,"['income', 'gender_O', 'difficulty']",0.4424778761061947,[False  True],2020-05-02 08:42:26.614623
bogo,"['income', 'gender_O', 'duration']",0.44058154235145386,[False  True],2020-05-02 08:42:26.861981
